date,births
1983-August-01,323000
1983-September-01,315000
1983-October-01,323000
1983-November-01,300000
1983-December-01,320000
1983-January-01,294632
1983-February-01,273234
1983-March-01,301691
1983-April-01,285578
1983-May-01,296323
1983-June-01,297935
1983-July-01,326182
1983-August-01,329870
1983-September-01,319971
1983-October-01,309106
1983-November-01,290843
1983-December-01,303873
1982-January-01,292009
1982-February-01,279961
1982-March-01,297309
1982-April-01,286780
1982-May-01,293687
1982-June-01,293018
1982-July-01,321836
1982-August-01,323129
1982-September-01,320536
1982-October-01,311312
1982-November-01,289580
1982-December-01,303101
1991-January-01,284463
1991-February-01,260981
1991-March-01,288637
1991-April-01,271159
1991-May-01,287126
1991-June-01,282277
1991-July-01,311157
1991-August-01,318023
1991-September-01,306666
1991-October-01,304119
1991-November-01,288271
1991-December-01,291519
1979-January-01,270695
1979-February-01,249898
1979-March-01,276584
1979-April-01,254585
1979-May-01,270818
1979-June-01,270704
1979-July-01,294704
1979-August-01,302805
1979-September-01,293903
1979-October-01,288965
1979-November-01,274679
1979-December-01,284939
1976-January-01,259173
1976-February-01,238153
1976-March-01,261608
1976-April-01,250992
1976-May-01,261572
1976-June-01,255734
1976-July-01,279744
1976-August-01,279937
1976-September-01,273750
1976-October-01,267841
1976-November-01,249907
1976-December-01,265787
1976-January-01,257455
1976-February-01,236551
1976-March-01,257951
1976-April-01,246469
1976-May-01,256986
1976-June-01,250525
1976-July-01,279630
1976-August-01,286496
1976-September-01,283718
1976-October-01,280280
1976-November-01,258011
1976-December-01,265886
1975-January-01,265775
1975-February-01,241045
1975-March-01,268849
1975-April-01,247455
1975-May-01,254545
1975-June-01,254096
1975-July-01,275163
1975-August-01,281300
1975-September-01,270738
1975-October-01,265494
1975-November-01,251973
1975-December-01,260532
1974-January-01,275912
1974-February-01,262305
1974-March-01,273054
1974-April-01,254538
1974-May-01,269698
1974-June-01,259620
1974-July-01,277654
1974-August-01,287834
1974-September-01,282333
1974-October-01,275130
1974-November-01,263987
1974-December-01,276346
1974-January-01,312190
1974-February-01,283444
1974-March-01,307718
1974-April-01,285730
1974-May-01,284332
1974-June-01,284944
1974-July-01,304912
1974-August-01,312416
1974-September-01,310822
1974-October-01,302542
1974-November-01,281112
1974-December-01,285808
1974-January-01,301870
1974-February-01,281100
1974-March-01,307068
1974-April-01,286624
1974-May-01,297648
1974-June-01,302798
1974-July-01,329904
1974-August-01,330712
1974-September-01,331830
1974-October-01,323764
1974-November-01,309012
1974-December-01,329056
1974-January-01,293940
1974-February-01,270786
1974-March-01,296550
1974-April-01,282638
1974-May-01,289124
1974-June-01,291610
1974-July-01,318356
1974-August-01,321034
1974-September-01,312620
1974-October-01,311972
1974-November-01,297054
1974-December-01,314522
